question,option1,option2,option3,option4,correct,image
"भारत की राजधानी क्या है?","मुंबई","कोलकाता","नई दिल्ली","चेन्नई",3,"q1.jpg"
"ताजमहल कहाँ स्थित है?","आगरा","दिल्ली","जयपुर","वाराणसी",1,"q2.jpg"
"सौर मंडल का सबसे बड़ा ग्रह कौन सा है?","पृथ्वी","मंगल","बृहस्पति","शनि",3,"q3.jpg"
"भारत का राष्ट्रीय पशु कौन है?","शेर","हाथी","बाघ","हिरण",3,"q4.jpg"
"भारत का राष्ट्रीय पक्षी कौन है?","तोता","मोर","कबूतर","कोयल",2,"q5.jpg"
"‘जय जवान जय किसान’ नारा किसने दिया?","लाल बहादुर शास्त्री","महात्मा गांधी","नेहरू","भगत सिंह",1,"q6.jpg"
"दुनिया का सबसे ऊँचा पर्वत शिखर कौन सा है?","के2","कंचनजंघा","एवरेस्ट","नंदा देवी",3,"q7.jpg"
"0 का खोजकर्ता कौन था?","आर्यभट्ट","भास्कराचार्य","रामानुजन","चाणक्य",1,"q8.jpg"
"मानव शरीर का सबसे बड़ा अंग कौन सा है?","हृदय","त्वचा","मस्तिष्क","फेफड़ा",2,"q9.jpg"
"भारत का स्वतंत्रता दिवस कब मनाया जाता है?","26 जनवरी","2 अक्टूबर","15 अगस्त","14 नवंबर",3,"q10.jpg"
"भारत की मुद्रा क्या है?","डॉलर","रुपया","यूरो","दीनार",2,"q11.jpg"
"दक्षिण भारत में सबसे बड़ी नदी कौन सी है?","कावेरी","गोदावरी","कृष्णा","नर्मदा",2,"q12.jpg"
"सूर्य का प्रकाश पृथ्वी तक कितने समय में पहुँचता है?","8 मिनट","2 मिनट","30 सेकंड","1 घंटा",1,"q13.jpg"
"भारत के पहले राष्ट्रपति कौन थे?","राजेंद्र प्रसाद","नेहरू","पटेल","लाल बहादुर शास्त्री",1,"q14.jpg"
"ओलंपिक खेल कितने साल बाद होते हैं?","2","3","4","5",3,"q15.jpg"
"भारत का राष्ट्रीय फल क्या है?","सेब","केला","आम","अनार",3,"q16.jpg"
"कंप्यूटर का मस्तिष्क किसे कहा जाता है?","माउस","हार्ड डिस्क","CPU","RAM",3,"q17.jpg"
"भारत का राष्ट्रीय खेल कौन सा है?","फुटबॉल","हॉकी","क्रिकेट","कबड्डी",2,"q18.jpg"
"पृथ्वी का उपग्रह कौन सा है?","चंद्रमा","सूर्य","मंगल","शुक्र",1,"q19.jpg"
"स्वतंत्र भारत के पहले प्रधानमंत्री कौन थे?","गांधीजी","सुभाष बोस","नेहरू","पटेल",3,"q20.jpg"
